job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"https://www.glassdoor.com/job-listing/systems-engineer-security-focus-cerium-networks-inc-JV_IC1150505_KO0,31_KE32,51.htm?jl=1008871062180",glassdoor,Systems Engineer – Security Focus,Cerium Networks Inc,,"Seattle, WA",,2023-09-15,yearly,91516,137274,USD,False,,,,
"https://www.glassdoor.com/job-listing/product-security-software-engineer-mid-level-or-experienced-boeing-JV_IC1150505_KO0,59_KE60,66.htm?jl=1008874606018",glassdoor,Product Security Software Engineer (Mid-Level or Experienced),BOEING,,"Seattle, WA",,2023-09-18,yearly,84772,132082,USD,False,,,,
"https://www.glassdoor.com/job-listing/senior-engineer-cyber-security-florida-cancer-specialists-research-institute-JV_KO0,30_KE31,76.htm?jl=1008878448461",glassdoor,Senior Engineer Cyber Security,Florida Cancer Specialists & Research Institute,,United States,,2023-09-20,,,,,False,,,,
"https://www.glassdoor.com/job-listing/sitec-deployed-communications-engineer-peraton-JV_KO0,38_KE39,46.htm?jl=1008912894989",glassdoor,SITEC - Deployed Communications Engineer,Peraton,,United States,,2023-10-06,yearly,86000,138000,USD,False,,,,
"https://www.glassdoor.com/job-listing/penetration-test-engineer-threat-exposure-costco-wholesale-JV_IC1150505_KO0,41_KE42,58.htm?jl=1009006223566",glassdoor,Penetration Test Engineer - Threat Exposure,Costco Wholesale,,"Seattle, WA",,2023-11-30,yearly,145000,175000,USD,False,,,,
"https://www.glassdoor.com/job-listing/embedded-escalation-engineer-microsoft-defender-for-endpoint-microsoft-JV_IC1150499_KO0,60_KE61,70.htm?jl=1008986271207",glassdoor,Embedded Escalation Engineer-Microsoft Defender For Endpoint,Microsoft,,"Redmond, WA",,2023-11-17,yearly,101200,194800,USD,False,,,,
"https://www.glassdoor.com/job-listing/application-security-engineer-i-healthcare-security-amazon-com-services-llc-JV_IC1150505_KO0,51_KE52,75.htm?jl=1009003885252",glassdoor,"Application Security Engineer I, Healthcare Security",Amazon.com Services LLC,,"Seattle, WA",,2023-11-29,yearly,111600,111600,USD,False,,,,
"https://www.glassdoor.com/job-listing/distinguished-engineer-artificial-intelligence-splunk-JV_IC1150505_KO0,46_KE47,53.htm?jl=1008992160994",glassdoor,Distinguished Engineer - Artificial Intelligence,Splunk,,"Seattle, WA",,2023-11-21,yearly,216000,297000,USD,False,,,,
"https://www.glassdoor.com/job-listing/security-engineer-ii-ctj-poly-microsoft-JV_IC1150499_KO0,29_KE30,39.htm?jl=1008992232638",glassdoor,Security Engineer II -CTJ - Poly,Microsoft,,"Redmond, WA",,2023-11-22,yearly,94300,182600,USD,False,,,,
"https://www.glassdoor.com/job-listing/principal-firmware-security-engineer-microsoft-JV_IC1150499_KO0,36_KE37,46.htm?jl=1008992232819",glassdoor,Principal Firmware Security Engineer,Microsoft,,"Redmond, WA",,2023-11-22,yearly,133600,256800,USD,False,,,,
